tag,cn_name
electro_emilia,エレクトロエミリア
electro_slime_(genshin_impact),雷スライム
electro_symbol_(genshin_impact),"electro符号,エルエクトロ記号,electro符号（原神）,エルエクトロ記号（原神）,原神"
electro_wave_human_tackle,"電波人間タックル,仮面ライダータックル"
electrocution,"電気責め,感電,电刑,電刑,触电,觸電"
electrode_(pokemon),マルマイン
electrodes,"電極,でんきょく,电极片"
electrohammer_vanguard_(genshin_impact),"愚人众先遣队・雷锤前锋军,ファデュイ先せん遣けん隊たい・前ぜん鋒ほこさき軍ぐん・雷かみなりハンマー,우인단선발대・번개해머돌격대"
electrokinesis,"雷属性,電気属性,雷魔法"
electrolarynx,"電動式人工喉頭,電気式人工喉頭"
electronic_cigarette,"ベイプ,電子たばこ"
electroshock_arm_(kid_icarus),豪腕デンショッカー
electrostimulation,電気責め
electroweb_(pokemon),エレキネット
elefant,"エレファント,フェルディナント"
elegant_swimsuit_(idolmaster),エレガントミズギ
elegg_(boom_and_shock)_(nikke),エレグ:ブーム・アンド・ショック
elegg_(nikke),"伊莱格,エレグ,エレグ(勝利の女神:NIKKE),エレグ(勝利の女神NIKKE)"
elegia_(page_of_lambda),エレギア
elegy_of_emptiness,ぬけがらのエレジー
elekid,エレキッド
eleking,"エレキング,エレキングさん,湖上ラン"
elekshaal_(calpish),"エレクシャール,双星神姫エレクシャール"
elektra_natchios,"エレクトラ,エレクトラ(MARVEL)"
element_(ensemble_stars!),エレメント
element_bending,"element弯曲,エルエメント曲げる"
element_venus,エレメントヴィーナス
elemental_(creature),"精霊,精灵"
elemental_dragon,エレメンタルドラゴン
elemental_dragon_wonder_ride_book,エレメンタルドラゴンワンダーライドブック
elemental_hero_absolute_zero,E・HEROアブソルートZero
elemental_hero_avian,E・HEROフェザーマン
elemental_hero_bubbleman,E・HEROバブルマン
elemental_hero_burstinatrix,"E・HEROバーストレディ,バーストレディ"
elemental_hero_clayman,E・HEROクレイマン
elemental_hero_flame_wingman,E・HEROフレイム・ウィングマン
elemental_hero_neos,E・HEROネオス
elemental_hero_sparkman,E・HEROスパークマン
elemental_master_(ragnarok_online),エレメンタルマスター
elementary_schoolmate_(idolmaster),エレメンタリースクールメイト
elen_(fire_emblem),"エレン,エレン(FE)"
elena_(callsign:_cedar),埃琳娜
elena_(duel_masters),光の守護者エレナ
elena_(ff7),イリーナ(FF7)
elena_(grandia),エレナ
elena_(project_moon),"伊莲娜,血红之夜"
elena_(street_fighter),"エレナ,エレナ(ストリートファイター)"
elena_(trickcal),エレナ(トリッカル)
elena_bolkova,エレナ・ヴォルコヴァ
elena_mikhailova,エレナ・ミハイロワ
elena_peoples,エレナ・ピ-プルズ
elena_starffin,エレナ・スタルヒン
elena_stoddart,エレナ・ストダート
elena_trafalgar,エレトラ
elena_wyllt_(grimms_notes),"エレナ・ウィスルト(グリムノーツ),エレナ・ウィスルト"
eleonor_(taimanin),エレオノール(対魔忍)
eleonora_(sennen_sensou_aigis),帝国司教エレオノーラ
eleonora_viltaria,エレオノーラ=ヴィルターリア
eleonore_bianca,エレオノール・ビアンカ
eleonore_giovanna_gassion,エレオノール・ジョヴァンナ・ガション
elephant,"ゾウ,象,ぞうさん"
elephant_ears,"象耳朵,ゾウ耳"
elephant_fruit,"ゾウフルーツ,象フルーツ"
elephant_girl,"象女孩,ゾウ女の子"
elephant_mario,ゾウマリオ
elephant_tail,"象尾巴,ゾウ尻尾"
elephantfish,モルミュルス科
elesa_(pokemon),"カミツレ,カミツレ(ポケモン),黒髪ツレ,カミツレさん...,カミヤコ,ヤーカミ"
elesa_(sygna_suit)_(alt.)_(pokemon),マジコスカミツレ(アナザー)
elesia,"エレイシア,エレイシ"
elesis_(elsword),エリシス(エルソード)
elevation_contour_lines,等高线
elevator,"エレベーター,电梯(升降式)"
elevator_door,"电梯(升降式)门,エレベータードア"
elevator_operator,エレベーターガール
eleven_men_(sbr),11人の男たち
eleventh_doctor_(doctor_who),11代目ドクター
elezen,エレゼン
elf,"エルフ,エロフ,ロリフ,精灵,黒髪エルフ"
elf_(dq10),エルフ(DQ10)
elf_(dragon's_crown),エルフ(ドラゴンズクラウン)
elf_(monster_girl_encyclopedia),エルフ(魔物娘図鑑)
elf_elysia,"妖精エリ,妖精爱莉"
elf_no_radral,エルフのラドラル
elfaria_alvis_serfort,エルファリア・アルヴィス・セルフォルト
elffin_(fire_emblem),"エルフィン,エルフィン(封印の剣)"
elfilin,エフィリン
elfine_phillet,エルフィーネ・フィレット
elfir_traum,"エルフィール・トラウム,エルフィール"
elfleda_mirjasdottir,エルフレダ・ミルヤスドッティル
elfman_strauss,"エルフマン·ストラウス,エルフマン・ストラウス"
elfnein,エルフナイン
elfnote_lucina,"耀聖の花詩ルキナ,エルフェンノーツルキナ"
elfriede,エルフリーデ
elfriede_bernstein,エルフリーデニベルンツュタトン
elfriend_(shiranui_flare),えるふれ
elfuda-kun_(yoruhachi),エルフ田くん
elfuda_(elf-san_wa_yaserarenai.),絵留札
elfy_(zenless_zone_zero),エイファ(ゼンゼロ)
elgala,エルガーラ
elgyem,リグレー
elh_melizee,"エル・メリゼ,エル"
elhaym_van_houten,エレハイム・ヴァン・ホーテン
eli_clark,"イライ・クラーク,伊莱·克拉克,先知"
eli_conifer,"エリー・コニファー,絵にふぁー,ひみつの絵にふぁー"
eli_conifer_(1st_costume),エリー・コニファー(通常)
elias_(sennen_sensou_aigis),帝国治癒士エリアス
elias_ainsworth,エリアス・エインズワース
elias_delborne,エリアス・デルボーン
elice_(fire_emblem),"エリス,エリス(ファイアーエムブレム)"
elicia_(luminous_arc_2),エリシア(ルミナスアーク2)
elicia_hughes,エリシア・ヒューズ
elidibus,"エリディブス,艾里迪布斯,アシエン・エリディブス"
elie_macdowell,エリィ・マクダエル
eligos_(megido72),エリゴス(メギド72)
eliisa_(mahjong_soul),"エリサ,エリサ(雀魂)"
elijah_(project_moon),伊利亚
elijah_baley,イライジャ・ベイリ
elil_(granblue_fantasy),エッリル
elin,"エリーン,艾琳"
elina_(queen's_blade),"エリナ,近衛隊長エリナ,牙を統べる者エリナ,絶影の追跡者エリナ"
elina_gracia,エリナ・ガラシャ
elina_olegovna_oven,エリナ・オレゴヴナ・アヴェーン
elinalise_dragonroad,エリナリーゼ・ドラゴンロード
elincia_ridell_crimea,"エリンシア,エリンシア・リデル・クリミア"
elincie_yerthrop,エリンシエ・ヤースロップ
elio_(champion)_(pokemon),ヨウ(チャンピオン)
elio_(pokemon),"ヨウ(トレーナー),SM♂主,コウタ(トレーナー),サン(ポケスペ),ヨウリエ,ヨウミヅ,ヨウグズ,主♂グズ"
elion_the_king_of_spirits,精霊王エリオン
eliot_(doa),エリオット
elira_pendora,"絵リーラ,エリーラペンドラ,エリーラ・ペンドラ"
elira_pendora_(1st_costume),エリーラ・ペンドラ(通常)
elira_pendora_(2nd_costume),エリーラ・ペンドラ(和風ドレス)
elira_pendora_(3rd_costume),エリーラ・ペンドラ(私服)
elis_(touhou),"エリス,エリス(東方Project)"
elis_scarlet,エリス・スカーレット
elisa_(girls'_frontline),"伊莱莎(少女前线),エリザ(ドールズフロントライン),伊萊莎(少女前線),主脑(少女前线),主腦(少女前線),エルダーブレイン(ドールズフロントライン),エルダーブレイン"
elisa_celjska,エリザ・ツェリスカ
elisabeth_(kagejitsu),"エリザベート,エリザベート(陰の実力者になりたくて!)"
elisabeth_blanctorche,エリザベート・ブラントルシュ
elisanne,エルフィリス
elise_(brown_dust),エリーゼ(ブラウンダスト)
elise_(bungou_stray_dogs),エリス(文豪ストレイドッグス)
elise_(doa),エリーゼ(DOA)
elise_(fire_emblem),エリーゼ(FEif)
elise_(gunvolt),エリーゼ
elise_angel,エリーゼ=アンジェル
elise_de_la_serre,エリス
elise_katharina_von_hohenheim,エリーゼ・カタリーナ・フォン・ホーエンハイム
elise_phulie,エリーゼ・フューリー
elise_schwarzer,エリゼ・シュバルツァー
elise_von_dietrich,エリーゼ・フォン・ディートリッヒ
elisha_paltier,エリシャ・パルティエル
elishka_(black_rock_shooter),エリシュカ
elisia_valfelto,"エリシア・ヴァルフェルト,エリシア"
elita_one,"エリータ・ワン,エリータワン"
elite_dairy_cow_(konoshige),エリート乳牛さん
eliwood_(fire_emblem),エリウッド
elixir_of_love_(fate),愛の霊薬
elixir_rose,エリクシル・ローズ
eliza_(final_fight),エリザ(ファイナルファイト2)
eliza_(shaman_king),エリザ・ファウスト
eliza_(skullgirls),イライザ
eliza_(tekken),"エリザ,エリザ(鉄拳)"
eliza_arsia_(fate),エリザ・アルシア
eliza_ascreaus_(fate),エリザ・アスクレウス
eliza_masters,"イライザ・マスターズ,イライザ(ストリートファイター)"
eliza_mayfield,イライザ・メイフィールド
eliza_pavonis_(fate),エリザ・パヴォニス
eliza_the_nine-tattooed_dragon_(fate),九紋竜エリザ
eliza_torland,エリザさん
elizabeth_(bioshock_infinite),エリザベス
elizabeth_(gintama),エリザベス(銀魂)
elizabeth_(persona),"エリザベス,エリザベス(ペルソナ3)"
elizabeth_(vivy),エリザベス(Vivy)
elizabeth_afton,"エリザベス・アフトン,伊丽莎白"
elizabeth_bathory_(brave)_(fate),"ブレイブエリザ,エリザベート・バートリー(ブレイブ)"
elizabeth_bathory_(brave)_(fate)_(cosplay),"elizabethbathory角色扮演,エルイザベスバスオルイ,エルイザベスバスオルイ（brave）,elizabethbathoryコスプレ"
elizabeth_bathory_(cinderella)_(fate),"シンデレラエリザ,エリザベート・バートリー〔シンデレラ〕"
elizabeth_bathory_(corroded)_(fate),エリザベート・ヴォイド
elizabeth_bathory_(fate),"エリザベート・バートリー(Fate),悪魔ランサー,赤ランサー,エリザベート・バートリー,伊丽莎白·巴托里,伊莉莎白.巴托里"
elizabeth_bathory_(fate)_(cosplay),"elizabethbathory角色扮演,エルイザベスバスオルイ,エルイザベスバスオルイ（フェイト）,フェイト,elizabethbathoryコスプレ"
elizabeth_bathory_(halloween_caster)_(fate),"ハロウィンエリザ,エリザベート・バートリー〔ハロウィン〕"
elizabeth_bathory_(japan)_(fate),エリザベートJAPAN
elizabeth_bathory_(perfect)_(first_ascension)_(fate),パーフェクト・エリザベート
elizabeth_bathory_(perfect)_(third_ascension)_(fate),パーフェクト・エリザベート
elizabeth_bathory_(second_ascension)_(fate),CCC48赤ランサー
elizabeth_ethel_cordelia_midford,エリザベス・ミッドフォード
elizabeth_f._beurling,エリザベス・F・ビューリング
elizabeth_harmon,"エリザベス・ハーモン,ベス・ハーモン"
elizabeth_ii,"エリザベス2世,伊丽莎白二世,伊莉莎白二世"
elizabeth_liones,"エリザベス(七つの大罪),エリザベス,エリザベス・リオネス"
elizabeth_mably,エリザベス=メイブリー
elizabeth_march,エリザベス・マーチ
elizabeth_of_the_end_(fate),終わりのエリザベート
elizabeth_rose_bloodflame,"エリザベス・ローズ・ブラッドフレイム,伊丽莎白·露丝·布拉德弗雷姆"
elizabeth_thompson,"リズ・トンプソン,エリザベス・トンプソン"
elizabeth_tower,"ビッグ・ベン,ビッグベン,エリザベス・タワー"
elizabeth_von_mountbatten_(osiimi),"ひきこもりヴァンパイア,エリ絵"
elizabetta_(futagohime),"エリザベータ,β様"
elizamon,エリザモン
elize_lutus,エリーゼ・ルタス
elk_(.hack//),"エルク,エルク(.hack)"
ella_of_the_sky,天空のエラ
elle_(karochii),エル
elle_(monster_strike),エル(モンスト)
elle_(rurudo),"エル・フラクティア,天使警察エル"
elle_(tenchi_souzou),"エル(天地創造),地裏のエル"
elle_louise,エル・ルイス
elle_mel_marta,"エル,エル・メル・マータ"
elle_ragu,エレ・ラグ
elle_sweet,エル・スウィート
elle_vianno,"エル・ビアンノ,艾露·比安诺"
ellee-chan,"エルちゃん,エル(プリキュア),エル(少女体),プリンセス・エル,プリンセスエル"
ellen_(majo_no_ie),"エレン(魔女の家),エレン,艾莲"
ellen_(touhou),"エレン・ふわふわ頭・オーレウス,エレン"
ellen_aice,エレン・エイス
ellen_baker,"エレン・ベーカー,エレン先生,えっちなエレン先生,エレン・ベーカー先生"
ellen_carson,エレン・カーソン
ellen_joe,"エレン・ジョー,エレンジョー,艾莲·乔,艾莲乔,エレン・ジョー(ゼンゼロ),エレン"
ellen_joe_(cosplay),"ellenjoe角色扮演,エッルエンジョエ,ellenjoe（角色扮演）,エッルエンジョエ（コスプレ）,角色扮演,コスプレ,ellenjoeコスプレ"
ellen_joe_(on_campus),"エレン・ジョー:月曜から金曜まで,艾莲·乔(从周一到周五)"
ellen_mira_mathers,エレン・ミラ・メイザース
ellenis,エレニス
ellerslie_pride_(umamusume),エラズリープライド
ellie_(pekaso1118n),エリー
ellie_(synduality),エリー
ellie_quickhand,エリー・クイックハンド
ellie_starrain_(ryou_(ponpgo)),エリィ・スターレイン
ellie_walker,エリー・ウォーカー
ellie_winslet,エリー
elline_(kirby),"エリーヌ(カービィ),エリーヌ"
ellinor_weisen,エリノア・ワイゼン
elliot_craig,エリオット・クレイグ
elliot_leucosia,エリオット・レウコシア
ellis_(toushinden),エリス(闘神伝)
ellis_fahrengart,エリス・ファーレンガルト
ellis_valentine,エリス・ヴァレンタイン
ellis_xillia,エリス・エクシリア
ellone,エルオーネ
ellow_(mario),ズンドー
elluard_von_heinberg,エリュアード・ヴォン・ハインベルグ
elluka_chirclatia,エルルカ=チルクラシア
elluka_clockworker,エルルカ=クロックワーカー
elly_(ragnarok_online),エリー
elly_(tonari_no_kyuuketsuki-san),"エリー,エリー(となりの吸血鬼さん)"
elly_(touhou),"エリー(東方Project),エリー"
elma_(ishuzoku_reviewers),エルマ(異種族レビュアーズ)
elma_(maidragon),"上井エルマ,エルマ(小林さんちのメイドラゴン),エルマ"
elma_(xenoblade_x),"エルマ,エルマ(ゼノブレイド)"
elma_leivonen,エルマ・レイヴォネン
elmelaura,エルメラウラ
elmer_fudd,"エルマー・ファッド,エルマーファッド"
elmerulia_frixell,エルメルリア・フリクセル
elmeth,"エルメス,ララァ専用モビルアーマー"
elmo_(vehicle),"艾莫(少女前线),艾莫(少女前线2),艾莫号,エルモ(ドールズフロントライン),エルモ(ドールズフロントライン2),エルモ号"
elmo_dormitory_outfit,"elmodormitory套装,エルモドルミトルイ衣装"
elmott,"エルモート,エルモート(グラブル)"
elmyra_gainsborough,エルミナ・ゲインズブール
elnora_samaya,エルノラ・サマヤ
elnowar_seylan,エレノワール・セイラン
elohim_essaim_(phrase),エロイムエッサイム
elon_musk,"イーロン・マスク,イーロン・リーヴ・マスク,埃隆马斯克,马斯克,馬斯克"
elpeo_puru,エルピー・プル
elphane_(genshin_impact),エルファネ
elphelt_valentine,"エルフェルト,エルフェルト=ヴァレンタイン"
elphelt_valentine_(doll_annihilator),"エルフェルト(アナイアレイター),エルフェルト=ヴァレンタイン(アナイアレイター)"
elpis_flower,エルピスの花
elpizo_(mega_man),エルピス
elraine_(tales),エルレイン
elrena,エルレナ
els_qan[t],ELSクアンタ
elsa_(demonbane),"エルザ,エルザ(デモンベイン)"
elsa_(frozen),"エルサ,アナエル,エルアナ"
elsa_(futagohime),"エルザ,エルザ王妃,エルザ(ふたご姫)"
elsa_(s-rank_boukensha),エルザ(Sランク冒険者)
elsa_(symphogear),エルザ(シンフォギア)
elsa_de_sica,エルザ・デ・シーカ
elsa_dorothy,"爱莎,爱莎·多萝西"
elsa_granhilte,エルザ・グランヒルテ
elsa_la_conti,エルザ・ラ・コンティ
elsa_maria_(madoka_magica),影の魔女
elsa_muller_(sasaki_to_p-chan),"エルザ(佐々木とピーちゃん),エルザ・ミュラー"
elsa_schtingheim,エルサ・シュティングハイム
elsam_(granblue_fantasy),エルセム
else_(project_blue),"エルセ,エルセとさめのぽき,エルぽき,エルぽきアート"
else_shileska,エルゼ・シルエスカ
elsie-san_(oshiruko),エルシィさん
elsie_(d4dj),"エルシィ(D4DJ),エルシィ"
elsie_(kitagawa_suigetsu),エルシー
elsie_crimson,エルシー・クリムゾン
elster_(signalis),エルスター
eltnum_(under_night_in-birth),エルトナム
eltolinde_(unicorn_overlord),エルトリンデ
elu_(10th_costume)_(nijisanji),える(ミニドレス)
elu_(11th_costume)_(nijisanji),える(ストリート系)
elu_(1st_costume)_(nijisanji),"える(旧通常),える(私服)"
elu_(6th_costume)_(nijisanji),"える(正月衣装),える(和風メイド)"
elu_(8th_costume)_(nijisanji),"える(通常),えるの新キービジュアル"
elu_(9th_costume)_(nijisanji),える(軍服)
elu_(nijisanji),"エルフのえる,えるの絵だよ,える"
elucidator,エリュシデータ
elulu_flannel,エルル・フランネル
elvaan,エルヴァーン
elvavena_araline,エルヴァヴェーナ・アラリーネ
elven_forest_maker,"エルブン・フォレストメーカー,エルヴン・フォレストメーカー"
elvira_(epic_seven),"エルヴィラ,艾碧拉"
elvira_(honzuki_no_gekokujou),エルヴィーラ
elvis_presley,"エルヴィス・プレスリー,エルヴィス"
elwing,"エルウィン・ラナ・シルフィス,エルウィン"
elwing_ra-nah_sylphith,"エルウィン・ラナ・シルフィス,エルウィン"
elysia_(coco)_(honkai_impact),エリシア(CoCoコラボ)
elysia_(herrscher_of_human:_ego)_(honkai_impact),"人之律者,エリシア(人の律者),エリシア(真我・人の律者)"
elysia_(hi_love_elf)_(honkai_impact),"嗨♪爱愿妖精♥,ハーイ♥愛の妖精さん"
elysia_(honkai_impact),"爱莉希雅,エリシア,エリシア(崩壊3rd)"
elysia_(lunar_grace)_(honkai_impact),霁月婵娟
elysia_(miss_pink)_(honkai_impact),粉色甜心小姐♪
elysia_(miss_pink_elf)_(honkai_impact),"エリシア(通常),粉色妖精小姐♪"
elysia_(office_lady)_(honkai_impact),エリシア(OL衣装)
elysia_(peachy_spring)_(honkai_impact),春好桃夭
elysia_(summer_2023)_(honkai_impact),エリシア(2023水着)
elysia_(summer_2024)_(honkai_impact),"エリシア(2024水着),爱莉希雅(悠游夏日)"
elysia_(summer_2025)_(honkai_impact),エリシア(2025夏衣装)
elysia_(summer_miss_elf)_(honkai_impact),"夏日妖精小姐♪,夏の妖精さん♪,エリシア(夏の妖精さん♪)"
elysia_de_lute_ima,"エルシィ,エリュシア・デ・ルート・イーマ"
elysium_(arknights),"极境,エリジウム(アークナイツ),棘境,ソンエリ"
elyss_(reverseblue),エリス(リバリバ)
elytra_(minecraft),エリトラ
elza_(ishuzoku_reviewers),エルザ(異種族レビュアーズ)
elza_(vtuber),艾尔莎
elza_forte,"エルザ・フォルテ,エルザフォルテ"
elze_eve_dianta,エルゼ・イヴ・ディアンタ
elzemekia,エルゼメキア
elzette_azamina_of_the_white_forest,"白き森の聖徒リゼット,しろきもりのアザミナリゼット"
elzette_of_the_white_forest,白き森のリゼット
em-2_(girls'_frontline),"EM-2(ドールズフロントライン),EM-2(少女前線)"
em:p_meowmine,EM:Pグレニャード
em_being_(mega_man),電波生命体
em_wave_change_(mega_man),電波変換
ema,絵馬
ema_skye,宝月茜
ema_yuzuru,絵馬ユズル
emaciated,"痩身,痩せ,ガリガリ,拒食症"
email_address,"電子メールアドレス,でんしメールアドレス,メールアドレス,メルアド,メアド,アドレス"
emalf_(funamusea),エマルフ
emanon_(character),エマノン
emanuel_(pixiv_fantasia),エマノエル皇帝
emanuele_pessagno_(azur_lane),"エマヌエーレ・ペッサーニョ(アズールレーン),エマヌエーレ・ペッサーニョ"
emanuele_pessagno_(backstage_blunders)_(azur_lane),ドタバタブリーフィング
emanuella_porlallora,"エマヌエーラ・ポルラローラ,エミ"
embarrassed,"恥じらい,恥,恥ずかしい,はずかしい,羞恥,赤面,照れ顔,尴尬"
embellished_costume,"embellished服装,エムベッルイシエド衣装"
ember_(arknights),"余烬,エンバー"
ember_(pokemon),ひのこ
ember_(selen_tatsuki),エンバー(セレン・龍月)
ember_amane,エンバー天音
ember_celica_(rwby),エンバー・セリカ
emberlith,エンバーリス
embers,火の粉
embla_(fire_emblem),エンブラ
embla_(girls'_frontline),"エンブラ,エンブラ(ドールズフロントライン)"
emblem,"エンブレム,臂章"
emblem_(fire_emblem_engage),"紋章士,紋章士英雄"
emblem_ring,"纹章环,エンブレムリング"
emboar,エンブオー
embroidered_bra,"embroidered胸罩,エムブロイデレドブラ"
embroidered_dress,"embroidered连衣裙,エムブロイデレドドレス"
embroidered_panties,"embroidered内裤,エムブロイデレドパンツ"
embroidery,刺绣
embroidery_hoop,"绷子,刺绣圆盘"
embryo,"胚,胚子"
emden_(azur_lane),"エムデン(アズールレーン),エムデン,埃姆登"
emden_(cruiser),エムデン(軽巡洋艦・3代)
emden_(duet_of_guiding_stars)_(azur_lane),星導のツヴィゲザング
emden_(moonsilver_union)_(azur_lane),"水月のリチェルカーレ,探求的水月之涧"
emden_(warship_girls_r),"埃姆登,エムデン"
emden_(white_black_partita)_(azur_lane),"白黒のパルティータ,黑白的夜之主"
emel_(7th_dragon),"エメル,エメル様"
emelia_pris,エメリア・プリス
emelita,エミリッタ
emera_(bombergirl),エメラ(ボンバーガール)
emerada_(xenogears),エメラダ
emerada_etuva,エメラダ・エトゥーヴァ
emerald_(pokemon),エメラルド(ポケスペ)
emerald_(romancing_saga_2),エメラルド(ロマサガ2)
emerald_bloom_(idolmaster),エメラルドブルーム
emerald_herald,"绿袍妹,緑衣の巡礼,シャナロット"
emerald_splash,エメラルドスプラッシュ
emerald_tree_boa_(kemono_friends),エメラルドツリーボア(けものフレンズ)
emeraldas,エメラルダス
emeraude_(rayearth),エメロード姫
emeraude_(tales),エメロード(テイルズ)
emergency_exit,非常口
emergency_exit_(pokemon),ききかいひ
emerl_(sonic),エメル
emet-selch,"エメトセルク,爱梅特赛尔克"
emi-chan,エミちゃん
emi_(ultraman:_rising),エミ(ULTRAMAN:RISING)
emia_renya,江巳安連矢
emika_(starward),"エミカ,咲迦,エミカ(星の翼),咲迦(星の翼)"
emil_(eco),エミル
emil_(identity_v),"患者,エミール,エミル,埃米尔,病患"
emil_(nier),エミール
emil_castagnier,エミル・キャスタニエ
emil_castagnier_(ratatosk),ラタトスクモード
emil_nekola,エミル・ネコラ
emile_bertin_(azur_lane),"エミール・ベルタン,エミール・ベルタン(アズールレーン),埃米尔·贝尔汀"
emile_bertin_(cote_d'azur)_(azur_lane),"コート・ダジュール,蓝色海岸"
emile_bertin_(maid_fantastique)_(azur_lane),"Fantastiqueメイド,「女仆」浪漫"
emile_elanos,エミール・エルァノス
emile_elman,エミールぅ・エルマン
emilia_(krt_girls),艾米莉亞
emilia_(lapis_re:lights),エミリア(ラピスリライツ)
emilia_(re:zero),"爱蜜莉雅,エミリア,エミリア(リゼロ)"
emilia_(saga_frontier),エミリア(サガフロ)
emilia_harring,エミリア・ハーリング
emilia_hermit,エミリア・ハーミット
emilia_junkers,エミリア・ユンカース
emilia_justina,エミリア・ユスティーナ
emilia_percival,エミリア・パーシバル
emilico_(shadows_house),エミリコ
emilie_(genshin_impact),"艾梅莉埃,千缕之踪,エミリエ(原神),エミリエ"
emilou_apacci,アパッチ
emily_(last_origin),"X-05・エミリー,X-05エミリー"
emily_(mahou_girls_precure!),"エミリー(プリキュア),エミリー"
emily_(master_of_eternity),エミリー
emily_(resident_evil),"エミリー,エミリー(バイオハザード)"
emily_armond,"エミリー・アモンド,エミリー・アスノ"
emily_brooks,エミリー・ブルックス
emily_dyer,"エミリー・ダイアー,医生,艾米丽·黛儿"
emily_kaldwin,エミリー・カルドウィン
emily_stewart,"エミリー・スチュアート,エミリー,エミリースチュアート"
emily_stewart_(very_merry_mail_girl),ベリーメリー♪メールガール
emily_stock,"エミリー·ストック,エミリー"
eminem,"エミネム,マーシャル・ブルース・マザーズ3世"
eminent_domain,エミネント・ドメイン
emirates_stadium,エミレーツ・スタジアム
emit,エミット
emiya_alter,エミヤ・オルタ
emiya_alter_(formal_dress),英霊正装
emiya_family_(fate),"emiya家庭,エミヤファミリー,emiya家庭（Fate）,エミヤファミリー（フェイト）,フェイト"
emiya_kiritsugu,"衛宮切嗣,切嗣,卫宫切嗣"
emiya_kiritsugu_(assassin),"エミヤ(アサシン),アサシンエミヤ"
emiya_norikata,衛宮矩賢
emiya_shirou,"衛宮士郎,卫宫士郎"
emiya_shirou_(prisma_illya),美遊兄
emiya_shirou_(the_one_who_withstood_pain),"担い手はここに孤り,千子村正オルタ"
emizel_(disgaea),エミーゼル
emlyn_white,埃姆林
emma_(beatcats),"エマ,エマ(Beatcats)"
emma_(color_me_red)_(nikke),エマ:ダーリンレッド
emma_(dq11),エマ(DQ11)
emma_(kouya_no_kotobuki_hikoutai),エンマ(荒野のコトブキ飛行隊)
emma_(nikke),"艾玛(胜利女神:妮姬),エマ(勝利の女神:NIKKE)"
emma_(ninjala),エマ
emma_(office_therapy)_(nikke),エマ:オフィスセラピー
emma_(ore_dake_haireru_kakushi_dungeon),エマ・ブライトネス
emma_(pokemon),"マチエール,マチケツ,マチぱい"
emma_(project_moon),艾玛
emma_(ta_ga_tame_no_alchemist),エマ(タガタメ)
emma_(tactical_upgrade)_(nikke),エマ:タクティカル・アップ
emma_(yakusoku_no_neverland),"エマ(約ネバ),エマ(約束のネバーランド),岛艾玛"
emma_(yumekuro),"エマ,エマ(ゆめくろ)"
emma_august,"えま★おうがすと,えま☆おうがすと,えまおうがすと,えま・おうがすと,えまの絵馬,えまと絵馬,えまの春画"
emma_august_(1st_costume),えま★おうがすと(通常)
emma_august_(2nd_costume),"えま★おうがすと(和服),えま★おうがすと(5万人記念衣装)"
emma_august_(4th_costume),えま★おうがすと(正装)
emma_august_(adult),えま★おうがすと(大人の姿)
emma_beauty,エマ・ビューティ
emma_emmerich,エマ・エメリッヒ
emma_frost,"艾玛·弗斯特,白皇后,エマ・フロスト,エマフロスト"
emma_grace_rosenthal,琥舞・グレイス・ローゼンタール
emma_guzman,"エマ・グスマン,艾玛・古斯曼"
emma_hetfield,エマ・ヘットフィールド
emma_millstein,エマ・ミルスティン
emma_planck,埃玛·普朗克
emma_sheen,エマ・シーン
emma_the_gentle_blade,"薬師エマ,エマ,英麻"
emma_verde,"エマ・ヴェルデ,ヴェルデ山脈"
emma_watson,艾玛·沃特森
emma_woods,"エマ・ウッズ,エマウッズ,园丁,艾玛·伍兹,艾玛伍兹"
emma_woods_(boudoir_dream),少女達の確執
emmel_(ta_ga_tame_no_alchemist),エンメル
emmeryn_(fire_emblem),エメリナ
emmet_(pokemon),"クダリ,サブマス,サブウェイマスター,サ腐マス,ノボクダ,下上"
emmet_(special_costume)_(pokemon),クダリ_(スペシャル)
emmet_(sygna_suit)_(pokemon),マジコスクダリ
emmet_brickowski,エメット(LEGOムービー)
emmett_brown,エメット・ブラウン
emmy_altava,レミ・アルタワ
emo_fashion,"エモ・ファッション,エモファッション,エモ系,エモ,エモガール,杀马特"
emoji,絵文字
emoji_censor,自主規制
emoji_kitchen_(meme),絵文字キッチン
emolga,エモンガ
emorgear,エモルギア
emori_aya,絵森彩
emori_el,絵守エル
emori_miku,"絵守未來,絵守未来"
emoticon,顔文字
emotional_dragon_wonder_ride_book,エモーショナルドラゴンワンダーライドブック
emotional_engine_-_full_drive,"枕草子・春曙抄,枕草子・春曙抄パロ"
emotionless_sex,"無関心,无感情的性爱"
empanada,エンパナーダ
empel_vollmer,アンペル・フォルマ
emperor's_blade_(arknights),皇帝的利刃
emperor's_children,"emperor's小孩,エムペロルス子供"
emperor_(arknights),"大帝(明日方舟),エンペラー"
emperor_(ff2),パラメキア皇帝
emperor_(sennen_sensou_aigis),白の皇帝
emperor_(stand),"エンペラー(ジョジョの奇妙な冒険),皇帝(替身)"
emperor_belos,皇帝ベロス
emperor_hirohito,"昭和天皇,裕仁,裕仁天皇"
emperor_of_mankind,"人类帝皇,帝皇"
emperor_penguin,コウテイペンギン
emperor_penguin_(kemono_friends),"コウテイペンギン,コウテイペンギン(けものフレンズ)"
emperor_zel,"ゼル帝,キングスフォード・ゼルトマン"
emphasis_lines,"集中線,集中线,强调线"
